MONITOR_OFFICIAL_NAME,MONITOR_EXP_NAME,DCUM,IP,IS_CABLE_CONNECTED,SELECTED_RS,SECONDS_IRRADIATION,SOURCE_DISTANCE_CM,BLM_SOURCE_TEST_THRESHOLD_GY_S,BLM_REACH_FLAG,BLM_LOCATION,BLM_POSITION
BLMQI.C17R5,BLMQI.17R5.B1E10_MQ,14085.83,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F17R5,BLMQI.17R5.B2I10_MQ,14089.24,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A18R5,BLMQI.17R5.B1E30_MQ,14091.74,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A18R5,BLMBI.18R5.B0T10_MBA-MBB_17R5,14106.08,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B18R5,BLMBI.18R5.B0T20_MBB-MBA_18R5,14121.74,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMQI.B18R5,BLMQI.18R5.B2I30_MQ,14136.19,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.C18R5,BLMQI.18R5.B1E10_MQ,14139.28,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMQI.F18R5,BLMQI.18R5.B2I10_MQ,14142.69,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Internal
BLMQI.A19R5,BLMQI.18R5.B1E30_MQ,14145.19,LHC_IP5,1,RS09,30,1,5.00E-07,Medium,Ring,External
BLMBI.A19R5,BLMBI.19R5.B0T10_MBB-MBA_18R5,14159.53,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
BLMBI.B19R5,BLMBI.19R5.B0T20_MBA-MBB_19R5,14175.19,LHC_IP5,1,RS09,30,1,5.00E-07,Easy,Ring,Top
